sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
25433680148,2020-01-14T05:59:00Z,78,22,18,38,95,60,0.13448275862068965
25416046459,2020-01-13T06:12:30Z,59,15,15,29,71,58,0.12557077625570776
25404373453,2020-01-12T07:40:30Z,70,19,17,34,88,57,0.14871794871794872
25391754657,2020-01-11T07:00:00Z,82,22,19,41,95,57,0.13719512195121952
25376512937,2020-01-10T05:55:30Z,80,22,19,39,99,57,0.1457174638487208
25363137868,2020-01-09T07:16:30Z,82,22,18,42,96,57,0.17166494312306102
25342702306,2020-01-08T07:36:30Z,71,18,16,37,90,57,0.18043684710351376
25320701087,2020-01-07T06:27:30Z,76,19,17,40,94,58,0.14355948869223206
25302298657,2020-01-06T07:54:00Z,78,20,18,40,102,58,0.15831663326653306
25290153671,2020-01-05T08:39:30Z,76,20,18,38,135,58,0.18575553416746873
25277262941,2020-01-04T08:55:30Z,86,23,19,44,112,58,0.15954664341761116
25260231013,2020-01-03T08:02:30Z,77,23,17,37,112,58,0.16065911431513905
25246389288,2020-01-02T07:42:00Z,82,21,20,41,96,59,0.13477366255144033
25230986095,2020-01-01T08:17:00Z,87,22,20,45,96,58,0.1358974358974359
25223163489,2019-12-31T08:46:30Z,84,22,20,42,85,59,0.12800769971126083
25208075705,2019-12-30T09:02:30Z,86,23,18,45,121,59,0.16595012897678418
25192758070,2019-12-29T08:06:30Z,74,19,19,36,104,60,0.12307692307692308
25179626350,2019-12-28T07:47:00Z,75,23,20,32,109,60,0.13075060532687652
25167825845,2019-12-27T07:58:00Z,75,22,21,32,104,59,0.14196762141967623
25152307479,2019-12-26T07:11:00Z,82,23,18,41,135,60,0.13925327951564076
25141316140,2019-12-25T08:23:30Z,83,22,19,42,103,58,0.13015873015873017
25130549447,2019-12-24T06:42:30Z,70,18,17,35,66,58,0.16799091940976163
25119454863,2019-12-23T07:34:30Z,79,22,16,41,96,56,0.15461847389558234
25108672051,2019-12-22T07:50:30Z,82,21,20,41,91,57,0.14165890027958994
25098379524,2019-12-21T07:53:30Z,80,23,16,41,114,56,0.1527647610121837
25089476419,2019-12-20T07:36:30Z,79,22,19,38,103,56,0.11063372717508056
25072688276,2019-12-19T06:52:30Z,81,22,18,41,86,57,0.13789581205311544
25057861702,2019-12-18T06:12:00Z,78,22,20,36,119,57,0.14528101802757157
25043749264,2019-12-17T07:27:30Z,80,21,19,40,67,58,0.15663801337153774
25030710421,2019-12-16T07:14:30Z,87,22,19,46,97,57,0.13279132791327913
25017595333,2019-12-15T07:29:00Z,84,21,20,43,75,59,0.14136125654450263
25007218737,2019-12-14T08:30:00Z,88,22,21,45,98,60,0.12964563526361278
24997196150,2019-12-13T07:49:30Z,88,22,20,46,108,62,0.12952898550724637
24982127567,2019-12-12T07:47:30Z,82,21,21,40,66,64,0.14876847290640394
24972789521,2019-12-11T08:11:30Z,77,18,20,39,97,65,0.11817367949865712
24958854924,2019-12-10T08:58:30Z,64,17,13,34,53,63,0.18163054695562436
24944343209,2019-12-09T06:32:00Z,80,19,20,41,114,64,0.14519427402862986
24933856578,2019-12-08T08:27:30Z,72,19,20,33,68,66,0.15060240963855423
24924422010,2019-12-07T07:44:00Z,72,17,17,38,55,64,0.18670576735092864
24911112346,2019-12-06T06:02:00Z,74,21,19,34,76,63,0.13476070528967254
24901828393,2019-12-05T06:17:30Z,74,20,19,35,87,61,0.12682379349046016
24889394512,2019-12-04T05:57:30Z,81,23,18,40,107,60,0.1385809312638581
24866846291,2019-12-03T06:07:00Z,78,21,19,38,67,59,0.14748603351955308
24854583395,2019-12-02T06:33:30Z,72,20,15,37,87,57,0.1577350859453994
24845349137,2019-12-01T08:07:00Z,80,21,19,40,98,57,0.12749762131303521
24832170784,2019-11-30T06:43:30Z,75,19,17,39,89,56,0.1605550049554014
24823252695,2019-11-29T07:18:30Z,85,21,20,44,89,58,0.1431095406360424
24810734703,2019-11-28T08:16:30Z,78,19,21,38,108,59,0.13955555555555554
24800533035,2019-11-27T07:23:00Z,81,21,19,41,79,58,0.1814780168381665
24789018415,2019-11-26T06:19:00Z,78,18,19,41,99,58,0.13742690058479531
24775969508,2019-11-25T06:33:00Z,78,20,18,40,96,58,0.153
24775969507,2019-11-24T09:13:30Z,81,23,18,40,110,57,0.14246068455134134
24752259936,2019-11-23T05:36:00Z,81,18,21,42,91,59,0.1187308085977482
24743421450,2019-11-22T05:40:00Z,84,19,19,46,112,60,0.14511873350923482
24721924769,2019-11-21T05:39:00Z,80,20,19,41,114,60,0.1661600810536981
24705802084,2019-11-20T06:03:30Z,83,18,20,45,102,61,0.15812720848056538
24692804362,2019-11-19T05:59:30Z,68,19,15,34,66,59,0.232163080407701
24679720563,2019-11-18T06:45:30Z,81,21,20,40,110,59,0.1457378551787351
24668519678,2019-11-17T07:16:30Z,71,18,18,35,93,58,0.1624874623871615
24661537014,2019-11-16T07:34:30Z,82,21,19,42,97,59,0.14965312190287414
24645635181,2019-11-15T06:37:00Z,79,18,22,39,83,60,0.12270531400966184
24632260941,2019-11-14T06:10:30Z,63,17,18,28,66,58,0.13878080415045396
24622178551,2019-11-13T06:46:00Z,81,22,19,40,98,58,0.16093117408906882
24607642569,2019-11-12T06:02:00Z,76,18,21,37,103,58,0.1277330264672037
24594911463,2019-11-11T06:48:30Z,80,21,20,39,82,59,0.14729458917835672
24583710526,2019-11-10T07:27:30Z,83,21,21,41,113,59,0.10933081998114987
24573188107,2019-11-09T08:19:00Z,83,23,19,41,111,59,0.14476190476190476
24561443781,2019-11-08T06:33:00Z,83,21,20,42,70,60,0.1506276150627615
24548001288,2019-11-07T06:30:30Z,75,20,20,35,88,60,0.1248513674197384
24536346513,2019-11-06T06:32:00Z,80,22,17,41,84,59,0.16270218839200762
24525485244,2019-11-05T05:59:30Z,79,22,19,38,84,60,0.12485681557846506
24511902336,2019-11-04T06:55:30Z,80,21,18,41,107,60,0.1648675171736997
24496648737,2019-11-03T06:37:30Z,61,16,15,30,77,58,0.204739336492891
24489140894,2019-11-02T08:16:30Z,87,22,20,45,96,59,0.13217866909753875
24475953124,2019-11-01T06:45:00Z,81,22,22,37,94,60,0.10235294117647059
24463734399,2019-10-31T06:14:00Z,41,17,13,11,75,58,0.14906832298136646
24449968899,2019-10-30T06:39:30Z,82,22,19,41,94,58,0.13818860877684408
24437579612,2019-10-29T06:22:30Z,76,19,21,36,73,58,0.13719185423365488
24424386780,2019-10-28T06:44:30Z,84,21,21,42,90,59,0.11209439528023599
24413032462,2019-10-27T06:49:30Z,69,21,14,34,71,56,0.15770609318996415
24402887048,2019-10-26T05:37:00Z,75,21,19,35,93,56,0.11956521739130435
24390995549,2019-10-25T06:45:30Z,81,20,19,42,95,56,0.12195121951219512
24377443892,2019-10-24T07:12:30Z,75,22,18,35,83,56,0.1470292044310171
24366941680,2019-10-23T06:35:30Z,84,22,22,40,113,58,0.1330603889457523
24355822433,2019-10-22T06:45:30Z,82,23,18,41,110,58,0.13891726251276812
24341953249,2019-10-21T06:47:00Z,79,18,20,41,65,57,0.13636363636363635
24341953248,2019-10-20T07:45:30Z,85,20,21,44,110,56,0.11251049538203191
24318195646,2019-10-19T08:19:30Z,79,21,20,38,86,56,0.1321266968325792
24306066115,2019-10-18T07:12:00Z,84,24,20,40,127,56,0.11683168316831684
24289622902,2019-10-17T06:36:30Z,75,21,20,34,69,56,0.15337423312883436
24278460408,2019-10-16T06:21:00Z,79,21,21,37,117,57,0.10526315789473684
24269469092,2019-10-15T07:59:00Z,84,22,21,41,93,58,0.11545988258317025
24250954876,2019-10-14T05:13:00Z,76,19,20,37,77,58,0.1293833131801693
24242836711,2019-10-13T09:18:30Z,63,21,14,28,60,56,0.15173237753882915
24235096825,2019-10-12T08:10:00Z,82,22,20,40,107,57,0.1335914811229429
24219310077,2019-10-11T06:49:30Z,71,20,19,32,97,58,0.1372328458942632
24207395605,2019-10-10T06:22:00Z,71,20,16,35,74,57,0.14365256124721604
24192906384,2019-10-09T06:52:00Z,83,21,22,40,81,58,0.12016293279022404
24178673308,2019-10-08T06:19:30Z,81,20,21,40,91,59,0.11836283185840708
24157324429,2019-10-07T07:33:30Z,77,19,19,39,78,59,0.17323556370302476
24138872551,2019-10-06T09:19:30Z,78,21,16,41,134,60,0.23254139668826493
24131744325,2019-10-05T06:37:30Z,80,22,20,38,98,60,0.1513903192584964
24118453273,2019-10-04T06:23:30Z,81,22,19,40,92,60,0.13224043715846995
24107294203,2019-10-03T06:11:00Z,76,19,21,36,77,61,0.14412136536030343
24094261384,2019-10-02T06:49:30Z,80,22,19,39,125,61,0.155053974484789
24081125459,2019-10-01T06:36:00Z,79,21,20,38,73,60,0.12017167381974249
24067314952,2019-09-30T06:08:30Z,76,20,19,37,51,59,0.14870689655172414
24054803851,2019-09-29T07:21:00Z,78,22,19,37,92,59,0.1380065717415115
24043257064,2019-09-28T07:00:30Z,66,18,19,29,86,58,0.15037593984962405
24032032616,2019-09-27T06:47:30Z,85,22,21,42,101,59,0.11288711288711288
24018795264,2019-09-26T06:36:00Z,73,18,17,38,92,58,0.12582781456953643
24008259982,2019-09-25T07:42:00Z,82,20,18,44,77,58,0.15384615384615385
23995153240,2019-09-24T06:20:30Z,83,22,20,41,98,58,0.13559322033898305
23983598772,2019-09-23T06:47:00Z,81,20,20,41,108,59,0.143796992481203
23973042208,2019-09-22T07:31:00Z,77,19,17,41,101,58,0.16177957532861476
23973042207,2019-09-21T07:15:00Z,79,19,20,40,124,57,0.1359126984126984
23947975535,2019-09-20T06:42:00Z,86,20,21,45,117,59,0.11261261261261261
23933467238,2019-09-19T06:19:00Z,79,17,17,45,85,57,0.14273356401384082
23910315823,2019-09-17T05:13:30Z,66,17,19,30,98,56,0.16644113667117727
23891736899,2019-09-16T06:40:00Z,84,21,21,42,80,57,0.12987012987012986
23880011727,2019-09-15T07:25:30Z,77,20,18,39,89,57,0.1579466929911155
23869387147,2019-09-14T07:18:00Z,70,17,18,35,87,56,0.14772727272727273
23857222270,2019-09-13T06:42:00Z,70,21,17,32,128,55,0.12357217030114226
23843106439,2019-09-12T06:29:30Z,78,22,18,38,85,54,0.15171650055370986
23828701593,2019-09-11T05:59:00Z,81,22,20,39,86,55,0.1271186440677966
23813261926,2019-09-10T06:18:30Z,77,21,19,37,68,55,0.13847900113507378
23800207430,2019-09-09T06:37:00Z,81,21,20,40,78,55,0.12413108242303873
23779847904,2019-09-08T07:02:30Z,85,23,20,42,117,56,0.13186813186813187
23767509651,2019-09-07T07:03:00Z,75,21,19,35,77,55,0.11543287327478043
23753447582,2019-09-06T06:41:30Z,79,21,18,40,91,56,0.15695952615992104
23738011029,2019-09-05T06:13:00Z,78,21,21,36,80,57,0.1261574074074074
23724233662,2019-09-04T06:43:30Z,82,22,19,41,95,56,0.13779128672745694
23709362778,2019-09-03T06:31:00Z,85,23,20,42,115,55,0.12966804979253113
23696231032,2019-09-02T07:38:30Z,79,20,20,39,88,56,0.17092337917485265
23684345925,2019-09-01T07:15:30Z,84,22,21,41,95,56,0.1332675222112537
23673204871,2019-08-31T07:11:00Z,74,18,21,35,73,56,0.10270270270270271
23661278483,2019-08-30T06:34:00Z,73,17,19,37,50,55,0.12108559498956159
23646265400,2019-08-29T05:55:00Z,80,21,21,38,61,57,0.11296076099881094
